epoch,train_loss,train_err,test_err
0,1.7232551574707031,0.70556,0.6952
1,1.1393147706985474,0.50088,0.5018
2,0.8570237159729004,0.36364,0.3703
3,0.884987473487854,0.28992,0.3029
4,0.6826735734939575,0.25456,0.261
5,0.6296676397323608,0.24994,0.2638
6,0.5659446716308594,0.2295,0.2405
7,0.63246089220047,0.21924,0.2363
8,0.4985298216342926,0.19068,0.2132
9,0.49001264572143555,0.20668,0.2198
10,0.6100107431411743,0.20946,0.2295
11,0.6112801432609558,0.21372,0.2336
12,0.31762805581092834,0.187,0.2124
13,0.4049505293369293,0.17654,0.2039
14,0.3045193552970886,0.15012,0.1831
15,0.3778122067451477,0.15748,0.1834
16,0.4955000877380371,0.15928,0.186
17,0.41509371995925903,0.1499,0.1889
18,0.43239182233810425,0.15964,0.1917
19,0.4493609070777893,0.14334,0.1856
20,0.3232540488243103,0.13104,0.1666
21,0.30444225668907166,0.12162,0.1602
22,0.28980928659439087,0.13554,0.166
23,0.28825172781944275,0.12608,0.1614
24,0.36879900097846985,0.127,0.1716
25,0.3113865256309509,0.17514,0.2107
26,0.4353986382484436,0.12996,0.1681
27,0.19964560866355896,0.12466,0.1711
28,0.22939762473106384,0.1291,0.1675
29,0.3163439631462097,0.13366,0.1733
30,0.4179198145866394,0.1515,0.1947
31,0.19807353615760803,0.12464,0.1773
32,0.2110033482313156,0.11404,0.1657
33,0.22216632962226868,0.13306,0.1743
34,0.4819885194301605,0.1109,0.1585
35,0.3337818384170532,0.1402,0.188
36,0.24890832602977753,0.1339,0.1761
37,0.2615947127342224,0.10772,0.1539
38,0.2766605317592621,0.10768,0.153
39,0.26944565773010254,0.12604,0.1729
40,0.28884440660476685,0.09844,0.1522
41,0.20199736952781677,0.11794,0.1621
42,0.34396809339523315,0.13066,0.1757
43,0.40524420142173767,0.09814,0.147
44,0.2911703288555145,0.14588,0.1883
45,0.19080178439617157,0.09452,0.1419
46,0.240351602435112,0.14026,0.185
47,0.36455804109573364,0.13712,0.182
48,0.263832688331604,0.11712,0.1684
49,0.20974084734916687,0.11124,0.1626
50,0.24469788372516632,0.147,0.1966
51,0.21706044673919678,0.09818,0.1558
52,0.34034833312034607,0.12066,0.1726
53,0.31607720255851746,0.15338,0.1993
54,0.23815782368183136,0.10024,0.1456
55,0.2704489231109619,0.10704,0.1624
56,0.26914864778518677,0.11704,0.1692
57,0.2522716820240021,0.10072,0.155
58,0.25037458539009094,0.10176,0.1615
59,0.4234820008277893,0.1005,0.1532
60,0.1562233716249466,0.13062,0.184
61,0.15331435203552246,0.08142,0.1366
62,0.2998415231704712,0.08884,0.145
63,0.31587034463882446,0.09628,0.1428
64,0.2826974391937256,0.0881,0.1367
65,0.2764073312282562,0.12672,0.185
66,0.3651067018508911,0.09706,0.1507
67,0.20323166251182556,0.0918,0.1437
68,0.24188092350959778,0.07642,0.1348
69,0.3009898066520691,0.09824,0.1537
70,0.3960201144218445,0.0918,0.1517
71,0.23936226963996887,0.11936,0.1736
72,0.2327071875333786,0.07962,0.138
73,0.25120511651039124,0.1176,0.1719
74,0.2722852826118469,0.11304,0.1662
75,0.21018926799297333,0.10156,0.1483
76,0.26486894488334656,0.0965,0.1511
77,0.18986381590366364,0.08366,0.1376
78,0.20538926124572754,0.08852,0.1442
79,0.3780183494091034,0.11258,0.1673
80,0.1753203123807907,0.11576,0.1658
81,0.19259825348854065,0.1009,0.1557
82,0.05647972226142883,0.0267,0.097
83,0.04785057157278061,0.02166,0.0935
84,0.11175018548965454,0.01924,0.0949
85,0.10450401157140732,0.01766,0.0933
86,0.042599380016326904,0.01494,0.092
87,0.07530300319194794,0.01454,0.091
88,0.13363005220890045,0.01398,0.0911
89,0.07360722869634628,0.01214,0.0944
90,0.05374233052134514,0.011,0.0909
91,0.051737748086452484,0.01136,0.092
92,0.07463154196739197,0.00976,0.0937
93,0.005639048293232918,0.00972,0.0909
94,0.016303837299346924,0.00874,0.091
95,0.04573913291096687,0.00832,0.0914
96,0.056226443499326706,0.00764,0.0953
97,0.02850291132926941,0.00716,0.0916
98,0.012363726273179054,0.00686,0.0915
99,0.019084032624959946,0.00696,0.0966
